Fund_Name,NAV,Date
SBI Small Cap Fund - Direct Plan - Growth,31.0294,26-06-2015
SBI Small Cap Fund - Direct Plan - Growth,31.0607,25-06-2015
SBI Small Cap Fund - Direct Plan - Growth,30.9998,24-06-2015
SBI Small Cap Fund - Direct Plan - Growth,30.8937,23-06-2015
SBI Small Cap Fund - Direct Plan - Growth,30.7491,22-06-2015
SBI Small Cap Fund - Direct Plan - Growth,30.5701,19-06-2015
SBI Small Cap Fund - Direct Plan - Growth,30.4689,18-06-2015
SBI Small Cap Fund - Direct Plan - Growth,30.0202,17-06-2015
SBI Small Cap Fund - Direct Plan - Growth,29.497,16-06-2015
SBI Small Cap Fund - Direct Plan - Growth,29.5041,15-06-2015
SBI Small Cap Fund - Direct Plan - Growth,29.2746,12-06-2015
SBI Small Cap Fund - Direct Plan - Growth,29.1922,11-06-2015
SBI Small Cap Fund - Direct Plan - Growth,29.6228,10-06-2015
SBI Small Cap Fund - Direct Plan - Growth,29.2003,09-06-2015
SBI Small Cap Fund - Direct Plan - Growth,29.3979,08-06-2015
SBI Small Cap Fund - Direct Plan - Growth,29.7033,05-06-2015
SBI Small Cap Fund - Direct Plan - Growth,29.4409,04-06-2015
SBI Small Cap Fund - Direct Plan - Growth,29.5373,03-06-2015
SBI Small Cap Fund - Direct Plan - Growth,29.8851,02-06-2015
SBI Small Cap Fund - Direct Plan - Growth,30.3029,01-06-2015
SBI Small Cap Fund - Direct Plan - Growth,30.5261,29-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.3566,28-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.3406,27-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.5493,26-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.681,25-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.8954,22-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.8716,21-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.9295,20-05-2015
SBI Small Cap Fund - Direct Plan - Growth,31.0088,19-05-2015
SBI Small Cap Fund - Direct Plan - Growth,31.1586,18-05-2015
SBI Small Cap Fund - Direct Plan - Growth,31.0965,15-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.5463,14-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.4511,13-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.1822,12-05-2015
SBI Small Cap Fund - Direct Plan - Growth,30.6452,11-05-2015
SBI Small Cap Fund - Direct Plan - Growth,29.884,08-05-2015
SBI Small Cap Fund - Direct Plan - Growth,29.4468,07-05-2015
